ERP,Question,Detected,Key,Result
31656,1,A,A,Correct
31656,2,B,C,Incorrect
31656,3,B,C,Incorrect
31656,4,C,C,Correct
31656,5,B,B,Correct
31656,6,D,D,Correct
31656,7,D,B,Incorrect
31656,8,C,C,Correct
31656,9,C,C,Correct
31656,10,B,B,Correct
31656,11,B,B,Correct
31656,12,C,C,Correct
31656,13,D,B,Incorrect
31656,14,D,D,Correct
31656,15,C,C,Correct
31656,16,A,A,Correct
31656,17,A,A,Correct
31656,18,B,B,Correct
31656,19,C,C,Correct
31656,20,C,B,Incorrect
31656,21,C,C,Correct
31656,22,B,B,Correct
31656,23,B,B,Correct
31656,24,C,C,Correct
31656,25,A,A,Correct
31656,26,A,B,Incorrect
31656,27,B,B,Correct
31656,28,B,B,Correct
31656,29,C,C,Correct
31656,30,D,D,Correct
31656,31,D,D,Correct
31656,32,C,C,Correct
31656,33,B,B,Correct
31656,34,C,C,Correct
31656,35,B,B,Correct
31656,36,B,B,Correct
31656,37,A,A,Correct
31656,38,B,B,Correct
31656,39,D,A,Incorrect
31656,40,D,D,Correct
31656,41,D,A,Incorrect
